pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_eqt,st_teff,st_met
TOI-1248 b,TOI-1248,1,1,1,Transit,2024,4.3601561,0.051,6.8084859,27.4,952.09,5205,0.223
TOI-1249 b,TOI-1249,1,1,1,Transit,2024,13.079151,0.109,3.2710301,11.9,726.89,5497,0.297
TOI-125 b,TOI-125,1,1,3,Transit,2019,4.65382,0.05186,2.726,9.5,1037,5320,-0.02
TOI-125 c,TOI-125,1,1,3,Transit,2019,9.15059,0.0814,2.759,6.63,827.8,5320,-0.02
TOI-125 d,TOI-125,1,1,3,Transit,2020,19.98,0.137,2.93,13.6,638.1,5320,-0.02
TOI-1259 A b,TOI-1259 A,1,2,1,Transit,2021,3.477978,0.0407,11.45557828,140.1623275,963,4775,-0.5
TOI-1260 b,TOI-1260,1,1,3,Transit,2021,3.127463,0.0367,2.41,8.56,871,4227,-0.1
TOI-1260 c,TOI-1260,1,1,3,Transit,2021,7.493134,0.0657,2.76,13.2,651,4227,-0.1
TOI-1260 d,TOI-1260,1,1,3,Transit,2022,16.608164,0.1116,3.12,11.84,499,4227,-0.1
TOI-1266 b,TOI-1266,1,1,3,Transit,2020,10.8945,0.073,2.52,4.46,415,3563,-0.109
TOI-1266 c,TOI-1266,1,1,3,Transit,2020,18.8027,0.105,1.98,3.17,346,3563,-0.109
TOI-1266 d,TOI-1266,1,1,3,Transit Timing Variations,2025,32.509,0.1513,,3.68,288,3563,-0.109
TOI-1268 b,TOI-1268,1,1,1,Transit,2022,8.1577094,0.0711,9.1,96.4,918.9,5300,0.36
TOI-1269 b,TOI-1269,1,1,1,Transit,2024,4.2529913,0.0496,2.40144286,6.4,1004.9,5499,-0.049
TOI-1272 b,TOI-1272,1,1,2,Transit,2022,3.31599,0.0417,4.13204907,27,975,5065,0.182
TOI-1272 c,TOI-1272,1,1,2,Radial Velocity,2022,8.6811,0.079,,21.7,,5065,0.182
TOI-1273 b,TOI-1273,1,1,1,Transit,2024,4.631296,0.0549,11.09689089,70.55790635,1211,5690,0.07
TOI-1278 b,TOI-1278,1,1,1,Transit,2021,14.47567,0.095,12.21778896,5879.82553,,3799,-0.01
TOI-1279 b,TOI-1279,1,1,1,Transit,2024,9.61419,0.085,2.66146528,10.6,759,5457,-0.079
TOI-128.01,TOI-128,1,1,1,Transit,2024,4.9404681,0.05381019,2.21898,,1344.51,6086,
TOI-1288 b,TOI-1288,1,1,2,Transit,2022,2.6998279,0.0374,4.96846551,44.1,1203.44,5388,0.257
TOI-1288 c,TOI-1288,1,1,2,Radial Velocity,2022,416,1.07,,85.7,,5388,0.257
TOI-1294 b,TOI-1294,1,1,2,Transit,2024,3.915292,0.051,10.12369881,63.9,1392.74,5718,0.283
TOI-1294 c,TOI-1294,1,1,2,Radial Velocity,2024,159.9,0.61,,147,,5718,0.283
TOI-1295 b,TOI-1295,1,1,1,Transit,2024,3.1968838,0.047,15.69257298,451.3163379,2360,6280,0.26
TOI-1296 b,TOI-1296,1,1,1,Transit,2021,3.9443736,0.051,14.11645916,95.3,1414.84,5567,0.405
TOI-1298 b,TOI-1298,1,1,1,Transit,2021,4.537143,0.057,9.65807033,99,1278,5752,0.397
TOI-1301.01,TOI-1301,1,1,1,Transit,2024,6.096407209,0.059866,2.477,,,4820,
TOI-132 b,TOI-132,1,1,1,Transit,2020,2.1097019,0.026,3.42,22.4,1395,5397,0.16
TOI-1333 b,TOI-1333,1,2,1,Transit,2021,4.720219,0.0626,15.647764,753.2571,1679,6274,0.119
TOI-1338 b,TOI-1338 A,1,2,2,Transit,2020,95.4001,,7.661,11.3,,,
TOI-1338 c,TOI-1338 A,1,2,2,Radial Velocity,2023,215.79,,,75.4,,,
TOI-1346 b,TOI-1346,1,1,2,Transit,2025,1.7622538,,2.39,,1324,5099,-0.01
TOI-1346 c,TOI-1346,1,1,2,Transit,2025,5.502558,,2.23,,928,5099,-0.01
TOI-1347 b,TOI-1347,1,1,2,Transit,2024,0.84742346,,1.8,11.1,1400,5464,0.04
TOI-1347 c,TOI-1347,1,1,2,Transit,2024,4.841962,,1.6,6.4,1000,5464,0.04
TOI-1386 b,TOI-1386,1,1,2,Transit,2024,25.8401,0.173,6.2163865,45.8,615.03,5735,0.149
TOI-1386 c,TOI-1386,1,1,2,Radial Velocity,2024,232,0.75,,75.2,,5735,0.149
TOI-139 b,TOI-139,1,1,1,Transit,2023,11.07085,,2.4566,,561.17,4570,-0.238
TOI-1408 b,TOI-1408,1,1,2,Transit,2023,4.42587,0.05778,25,593,,6117,0.25
TOI-1408 c,TOI-1408,1,1,2,Transit Timing Variations,2024,2.1664,0.03587,2.22,7.6,,6117,0.25
TOI-1410 c,TOI-1410,1,1,2,Radial Velocity,2024,47.56,0.239,,27,,4635,0.328
TOI-1410.01,TOI-1410,1,1,2,Transit,2024,1.21687,0.0207,3.10083009,12.5,1236.7,4635,0.328
TOI-1411 b,TOI-1411,1,1,1,Transit,2022,1.4520527,0.02122,1.19880592,2,976.4,4115,0.012
TOI-1416 b,TOI-1416,1,1,1,Transit,2023,1.0697568,0.019,1.62,3.48,1517,4884,0.08
TOI-1420 b,TOI-1420,1,1,1,Transit,2023,6.9561063,0.071,11.89,25.1,957,5510,0.28
TOI-1422 b,TOI-1422,1,1,2,Transit,2022,12.99894,0.107,3.83,9.5,870,,
TOI-1422 c,TOI-1422,1,1,2,Radial Velocity,2025,34.5633,0.205,2.61,14,628,,
TOI-1431 b,TOI-1431,1,1,1,Transit,2021,2.650237,0.046,16.70138124,991.6246298,2370,7690,0.09
TOI-1437 b,TOI-1437,1,1,1,Transit,2024,18.840942,0.14,2.24,9.6,,6008,-0.4924
TOI-1438 b,TOI-1438,1,1,2,Transit,2025,5.13967,0.0553,3.04,9.4,971,5230,0.03
TOI-1438 c,TOI-1438,1,1,2,Transit,2025,9.428089,0.083,2.75,10.6,794,5230,0.03
TOI-1439 b,TOI-1439,1,1,1,Transit,2024,27.644,0.192,4.2427861,38.5,748.4,5841,0.226
TOI-1442 b,TOI-1442,1,1,1,Transit,2022,0.4090677,0.0071,1.17,,1072,3330,
TOI-1443 b,TOI-1443,1,1,1,Transit,2024,23.540678,0.147,2.30381001,30,520.66,5224,-0.294
TOI-1444 b,TOI-1444,1,1,1,Transit,2021,0.4702743,0.0116,1.41792246,3.58,2130.02,5460,0.146
TOI-1448 b,TOI-1448,1,1,1,Transit,2024,8.112245,0.0567,2.749,19.5,426,3412,0.37
TOI-1450 A b,TOI-1450 A,1,2,2,Transit,2024,2.0439274,,1.13,1.258,722,3437,-0.12
TOI-1450 A c,TOI-1450 A,1,2,2,Transit,2024,5.0688,,,1.527,533,3437,-0.12
TOI-1451 b,TOI-1451,1,1,1,Transit,2024,16.537944,0.127,2.61143902,15.2,723.33,5801,0.019
TOI-1452 b,TOI-1452,1,2,1,Transit,2022,11.06201,0.061,1.672,4.82,326,3185,-0.07
TOI-1453 b,TOI-1453,1,2,2,Transit,2025,4.3135225,,1.173,2.32,944.2,4975,-0.31
TOI-1453 c,TOI-1453,1,2,2,Transit,2025,6.5886982,,2.224,2.95,819.8,4975,-0.31
TOI-1467 b,TOI-1467,1,1,1,Transit,2024,5.97114713,0.050748,1.92,,,3834,
TOI-1468 b,TOI-1468,1,1,2,Transit,2022,1.8805201,0.02107,1.401,3.04,683.5,3376,-0.01
TOI-1468 c,TOI-1468,1,1,2,Transit,2022,15.532477,0.08608,2.126,4.1,338.1,3376,-0.01
TOI-1470 b,TOI-1470,1,1,2,Transit,2023,2.527093,0.0285,2.18,7.32,734,3709,0
TOI-1470 c,TOI-1470,1,1,2,Transit,2023,18.08816,0.106,2.47,7.24,373,3709,0
TOI-1472 b,TOI-1472,1,1,2,Transit,2024,6.36338574,0.064,4.058,18.05,891,5100,0.27
TOI-1472 c,TOI-1472,1,1,2,Radial Velocity,2025,15.5381747,0.116,3.334,21.13,662,5100,0.27
TOI-1478 b,TOI-1478,1,1,1,Transit,2021,10.1802117,0.0818,11.99360935,279.6889982,,,
TOI-150.01,TOI-150,1,1,1,Transit,2019,5.857487,0.07037,14.067295,797.7533,1404.5,6255,0.28
TOI-1516 b,TOI-1516,1,1,1,Transit,2022,2.056014,,15.24421375,1004.337766,,6520,-0.05
TOI-1518 b,TOI-1518,1,1,1,Transit,2021,1.902603,0.0389,21.01683881,731.0053361,2492,7300,-0.1
TOI-157 b,TOI-157,1,1,1,Transit,2020,2.0845435,0.03138,14.414774,375.0394,1588,5404,0.24
TOI-1601 b,TOI-1601,1,1,1,Transit,2021,5.33175,0.069,14.19902343,387,1493.97,5982,0.343
TOI-163 b,TOI-163,1,1,1,Transit,2019,4.231306,0.058,16.690201,387.7526,1669,6495,0.22
TOI-1630.01,TOI-1630,1,1,1,Transit,2024,12.05573473,0.101151,2.417,,,5504,
TOI-1634 b,TOI-1634,1,2,2,Transit,2021,0.9893455,,1.773,7.57,,3472,0.19
TOI-1634 c,TOI-1634,1,2,2,Radial Velocity,2022,103,,,,,3472,0.19
TOI-1648 b,TOI-1648,1,1,1,Transit,2025,7.331602,0.0694,2.54,7.4,799,4850,0.2
TOI-1659.01,TOI-1659,1,1,1,Transit,2024,5.877556328,0.065757,2.255,,,5977,
TOI-1669 b,TOI-1669,1,1,2,Radial Velocity,2023,500,1.27,,191,,5497,0.274
TOI-1669 c,TOI-1669,1,1,2,Transit,2024,2.6800535,0.0376,2.2963977,13,1285.16,5497,0.274
TOI-1670 b,TOI-1670,1,1,2,Transit,2022,10.98462,0.103,2.06,41.31769291,1062,6170,0.09
TOI-1670 c,TOI-1670,1,1,2,Transit,2022,40.74976,0.249,11.06326395,200.2318964,684,6170,0.09
TOI-1680 b,TOI-1680,1,1,1,Transit,2023,4.8026345,0.03144,1.466,,404,3225,0.04
TOI-1683.01,TOI-1683,1,1,1,Transit,2024,3.0575356,0.036507593,2.6382,,929.25,4402,
TOI-1685 b,TOI-1685,1,1,1,Transit,2021,0.66913923,0.01164,1.421,3.07,1000,3470,0.01
TOI-169 b,TOI-169,1,1,1,Transit,2020,2.2554477,0.03524,12.172974,251.40353,1715,5880,0.24
TOI-1691 b,TOI-1691,1,1,1,Transit,2024,16.73688894,0.129365,3.66,,,5759,
TOI-1693 b,TOI-1693,1,1,1,Transit,2022,1.7666957,0.0226,1.41,,764,3499,
TOI-1694 b,TOI-1694,1,1,2,Transit,2023,3.770107,0.045,5.3422266,31.3,943.19,5058,0.131
TOI-1694 c,TOI-1694,1,1,2,Radial Velocity,2023,393.1,0.1,,297,,5058,0.131
