pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_eqt,st_teff,st_met
11 Com b,11 Com,1,2,1,Radial Velocity,2007,323.21,1.178,,4914.898486,,4874,-0.26
11 UMi b,11 UMi,1,1,1,Radial Velocity,2009,516.21997,1.53,,4684.8142,,4213,-0.02
14 And b,14 And,1,1,1,Radial Velocity,2008,186.76,0.775,,1131.151301,,4888,-0.21
14 Her b,14 Her,1,1,2,Radial Velocity,2002,1765.0389,2.774,,2559.472162,,,
16 Cyg B b,16 Cyg B,1,3,1,Radial Velocity,1996,798.5,1.66,,565.7374,,5750,0.06
17 Sco b,17 Sco,1,1,1,Radial Velocity,2020,578.38,1.45,,1373.018718,,4157,-0.01
18 Del b,18 Del,1,2,1,Radial Velocity,2008,982.85,2.476,,2926.246143,,4980,-0.06
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,1,Imaging,2008,,330,,3000,1700,4060,
24 Boo b,24 Boo,1,1,1,Radial Velocity,2018,30.33,0.194,,280.6424834,,4816,-0.78
24 Sex b,24 Sex,1,1,2,Radial Velocity,2010,452.8,1.333,,632.46,,5098,-0.03
24 Sex c,24 Sex,1,1,2,Radial Velocity,2010,883,2.08,,273.32,,5098,-0.03
2M0437 b,2MASS J04372171+2651014,1,1,1,Imaging,2021,,118,,1271.313628,1450,3100,0.01
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,1,2,1,Imaging,2013,,84,,4131.79,,,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,1,Imaging,2013,,52,,7786.5,,3530,
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,1,Imaging,2015,,156,16.14096,4417.837,,3064,
2MASS J0249-0557 c,2MASS J0249-0557 A,1,2,1,Imaging,2018,,1950,,3686.809521,,,
2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,1,1,Imaging,2024,,572,,5720.911326,2369,,
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,1,Imaging,2010,,15,,2383.6,,,
2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,1,1,Imaging,2024,,266,,8899.195396,2677,,
2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,1,1,Imaging,2024,,587,,6356.56814,2506,,
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,1,Imaging,2004,,55,,1589.15,1250,,
2MASS J19383260+4603591 b,2MASS J19383260+4603591,1,2,3,Eclipse Timing Variations,2015,406,,,591.160837,,29564,
2MASS J21252752-8138278 b,2MASS J21252752-8138278,1,1,1,Imaging,2024,,7493,,3813.940884,1616,,
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,1,Imaging,2016,,230,,3972.875,,4045,
2MASS J22501512+2325342 b,2MASS J22501512+2325342,1,1,1,Imaging,2018,,518,,9534.85221,1600,,
4 UMa b,4 UMa,1,1,1,Radial Velocity,2006,270.27,0.877,,2511.480072,,4415,-0.25
47 UMa b,47 UMa,1,1,3,Radial Velocity,1996,1078,2.1,,804.08,,5872,0.04
47 UMa c,47 UMa,1,1,3,Radial Velocity,2001,2391,3.6,,171.621,,5872,0.04
47 UMa d,47 UMa,1,1,3,Radial Velocity,2009,14002,11.6,,521.22,,5872,0.04
51 Eri b,51 Eri,1,3,1,Imaging,2015,9100,10.4,,3464.329636,,,
51 Peg b,51 Peg,1,1,1,Radial Velocity,1995,4.230785,0.0527,,150.009,,5758,0.18
55 Cnc B b,55 Cnc B,1,2,7,Radial Velocity,2025,6.7994,0.044,,3.5,,3286,0.16
55 Cnc B c,55 Cnc B,1,2,7,Radial Velocity,2025,33.747,0.13,,5.3,,3286,0.16
55 Cnc b,55 Cnc,1,2,7,Radial Velocity,1996,14.651552,0.118,,276,,5198,0.39
55 Cnc c,55 Cnc,1,2,7,Radial Velocity,2004,44.3936,0.247,,56.6,,5198,0.39
55 Cnc d,55 Cnc,1,2,7,Radial Velocity,2002,4799,5.6,,1214.104515,,5198,0.39
55 Cnc e,55 Cnc,1,2,7,Radial Velocity,2004,0.7365474,0.01544,1.875,7.99,,5172,0.35
55 Cnc f,55 Cnc,1,2,7,Radial Velocity,2007,260.58,0.802,,48.5,,5198,0.39
6 Lyn b,6 Lyn,1,1,1,Radial Velocity,2008,919.86,2.028,,597.8352336,,4941,-0.17
61 Vir b,61 Vir,1,1,3,Radial Velocity,2009,4.215,0.050201,,5.1,,5577,-0.01
61 Vir c,61 Vir,1,1,3,Radial Velocity,2009,38.021,0.2175,,18.2,,5577,-0.01
61 Vir d,61 Vir,1,1,3,Radial Velocity,2009,123.01,0.476,,22.9,,5577,-0.01
7 CMa b,7 CMa,1,1,2,Radial Velocity,2011,735.1,1.758,,587.9855,,4826,0.21
7 CMa c,7 CMa,1,1,2,Radial Velocity,2019,996,2.153,,276.5121,,4826,0.21
70 Vir b,70 Vir,1,1,1,Radial Velocity,1996,116.688,0.481,,2357.02728,,5495,
75 Cet b,75 Cet,1,2,2,Radial Velocity,2012,696.62,1.912,,787.896621,,4809,0.1
75 Cet c,75 Cet,1,2,2,Radial Velocity,2023,2051.62,3.929,,289.8595072,,4809,0.1
8 UMi b,8 UMi,1,1,1,Radial Velocity,2015,93.31,0.462,,524.4168716,,4847,-0.03
81 Cet b,81 Cet,1,1,1,Radial Velocity,2008,1005.57,2.104,,1051.058542,,4734,-0.11
91 Aqr b,91 Aqr,1,3,1,Radial Velocity,2013,181.4,0.7,,1017,,4665,-0.03
AB Aur b,AB Aur,1,1,1,Imaging,2022,,93.9,,2860.455663,,9770,
AB Pic b,AB Pic,1,1,1,Imaging,2005,,260,,4290.5,,,
AF Lep b,AF Lep,1,1,1,Imaging,2023,8905,8.996,,1147.360549,,,
AT2021ueyL b,AT2021ueyL,1,1,1,Microlensing,2025,4168.69,4.01,,425.8900654,,3680,
AU Mic b,AU Mic,1,1,4,Transit,2020,8.46308,0.0649,3.95677019,,600,3678,0.23
AU Mic c,AU Mic,1,1,4,Transit,2021,18.85969,0.1108,2.52202066,,459,3678,0.23
AU Mic d,AU Mic,1,1,4,Transit Timing Variations,2023,12.73596,,,1.053,,3678,0.23
AU Mic e,AU Mic,1,1,4,Radial Velocity,2025,33.11,,,21.1,,3665,0.12
BD+03 2562 b,BD+03 2562,1,1,1,Radial Velocity,2017,481.9,1.3,,2034.112,,4095,-0.71
BD+05 4868 A b,BD+05 4868 A,1,2,1,Transit,2025,1.271869,0.0208,,6.2,1820,4596,-0.05
BD+14 4559 b,BD+14 4559,1,1,1,Radial Velocity,2009,268.94,0.78,,330.5432,,4864,0.17
BD+15 2375 b,BD+15 2375,1,1,1,Radial Velocity,2016,153.22,0.576,,337.21763,,4649,-0.22
BD+15 2940 b,BD+15 2940,1,1,1,Radial Velocity,2013,137.48,0.539,,352.78,,4796,0.28
BD+20 2457 b,BD+20 2457,1,1,2,Radial Velocity,2009,379.63,1.45,,6807.63,,4137,-1
BD+20 2457 c,BD+20 2457,1,1,2,Radial Velocity,2009,621.99,2.01,,3963.17,,4137,-1
BD+20 274 b,BD+20 274,1,1,1,Radial Velocity,2012,578.2,1.3,,1334.886,,4296,-0.46
BD+20 594 b,BD+20 594,1,1,1,Transit,2016,41.6855,,2.57807,22.2481,,5766,-0.15
BD+37 3172 b,BD+37 3172,1,1,1,Radial Velocity,2023,1887.76,4.65,,3368.981114,,4500,-0.03
BD+42 2315 b,BD+42 2315,1,1,1,Radial Velocity,2023,123.05,0.54,,174.8056239,,4500,-0.2
BD+45 564 b,BD+45 564,1,1,1,Radial Velocity,2021,307.88,0.83,,432.2466335,,5004,-0.09
BD+48 738 b,BD+48 738,1,1,1,Radial Velocity,2011,392.6,1,,289.2253,,4414,-0.2
BD+48 740 b,BD+48 740,1,1,1,Radial Velocity,2018,733,1.7,,540.311,,4534,-0.13
BD+49 828 b,BD+49 828,1,1,1,Radial Velocity,2015,2590,4.2,,508.5,,4943,-0.19
BD+55 362 b,BD+55 362,1,1,1,Radial Velocity,2021,265.59,0.78,,228.836453,,5012,0.18
BD+60 1417 b,BD+60 1417,1,1,1,Imaging,2021,,1662,14.68376472,4767.426105,1303,4993,
BD+63 1405 b,BD+63 1405,1,1,1,Radial Velocity,2021,1198.48,2.06,,1258.600492,,5000,-0.09
BD-06 1339 b,BD-06 1339,1,1,2,Radial Velocity,2013,3.8728,0.0428,,8.5,,4324,-0.14
BD-06 1339 c,BD-06 1339,1,1,2,Radial Velocity,2013,125.94,0.435,,53,,4324,-0.14
BD-08 2823 b,BD-08 2823,1,1,2,Radial Velocity,2009,5.6,0.06,,12.7132,,4816,-0.06
BD-08 2823 c,BD-08 2823,1,1,2,Radial Velocity,2009,237.6,0.68,,104,,4746,-0.07
BD-10 3166 b,BD-10 3166,1,1,1,Radial Velocity,2000,3.48777,0.04,,187.5197,,5393,0.38
BD-11 4672 b,BD-11 4672,1,1,2,Radial Velocity,2014,1634,2.36,,206.5895,,4550,-0.35
BD-11 4672 c,BD-11 4672,1,1,2,Radial Velocity,2020,74.2,0.3,,15.37,,4550,-0.35
BD-13 2130 b,BD-13 2130,1,1,1,Radial Velocity,2007,714.29999,1.66,,3108.3774,,4545,-0.08
BD-14 3065 b,BD-14 3065 A,1,3,1,Transit,2024,4.2889731,0.0656,21.59,3932,2001,6935,-0.34
BD-17 63 b,BD-17 63,1,1,1,Radial Velocity,2008,655.57,,,1639.99458,,,
BD-210397 b,BD-210397,1,1,2,Radial Velocity,2023,1891,2.63,,214,,4051,0.12
BD-210397 c,BD-210397,1,1,2,Radial Velocity,2023,6240,5.9,,1525.576354,,,
BEBOP-3 b,BEBOP-3,1,2,1,Radial Velocity,2025,547,1.444,,177.3482511,,6033,-0.02
BEBOP-4 AB b,BEBOP-4 A,1,2,1,Radial Velocity,2025,1823.5,3.634,,8358.887104,,,
Barnard b,Barnard's star,1,1,4,Radial Velocity,2024,3.1542,0.0229,,0.299,438,3195,-0.56
Barnard c,Barnard's star,1,1,4,Radial Velocity,2025,4.1244,0.0274,,0.335,400,3195,-0.56
Barnard d,Barnard's star,1,1,4,Radial Velocity,2025,2.3402,0.0188,,0.263,483,3195,-0.56
Barnard e,Barnard's star,1,1,4,Radial Velocity,2025,6.7392,0.0381,,0.193,340,3195,-0.56
CD Cet b,CD Cet,1,1,1,Radial Velocity,2020,2.2907,0.0185,,3.95,464,3130,0.13
CD-35 2722 b,CD-35 2722,1,1,1,Imaging,2011,,67,17.37392009,9375.938007,,3689,-0.16
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,1,Imaging,2011,10037.5,2.6,,3337.1,370,580.5,
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,1,1,Imaging,2021,8040000,200,20.8487041,2479.061575,1800,2320,
CHXR 73 b,CHXR 73,1,1,1,Imaging,2006,,210,,3994.486,,,
CI Tau c,CI Tau,1,1,1,Radial Velocity,2024,25.2,0.17,,1144.182265,,,
COCONUTS-2 b,COCONUTS-2 A,1,1,1,Imaging,2021,,,12.44196858,2542.627256,,3406,0
CT Cha b,CT Cha,1,1,1,Imaging,2007,,440,24.66,5403,2600,,
CoRoT-1 b,CoRoT-1,1,1,1,Transit,2008,1.5089557,,16.7,327.35,1898,5950,-0.3
CoRoT-10 b,CoRoT-10,1,1,1,Transit,2010,13.2406,0.1055,10.87,874,600,5075,0.26
CoRoT-11 b,CoRoT-11,1,1,1,Transit,2010,2.99433,0.0436,16.03,740.51,1657,6440,-0.03
CoRoT-12 b,CoRoT-12,1,1,1,Transit,2010,2.828042,0.04016,16.14,291.438,1442,5675,0.16
CoRoT-13 b,CoRoT-13,1,1,1,Transit,2010,4.03519,0.051,9.92,415.704,1700,5945,0.01
CoRoT-14 b,CoRoT-14,1,1,1,Transit,2010,1.51214,0.027,12.22,2415.4,1952,6035,0.05
CoRoT-16 b,CoRoT-16,1,1,1,Transit,2011,5.35227,0.0618,13.11,170.032,,5650,0.19
CoRoT-17 b,CoRoT-17,1,1,1,Transit,2011,3.7681,0.0461,11.43,772.29,1626,5740,0
CoRoT-18 b,CoRoT-18,1,1,1,Transit,2011,1.9000693,0.0295,14.68,1102.82,1550,5440,-0.1
CoRoT-19 b,CoRoT-19,1,1,1,Transit,2011,3.89713,0.0518,14.46,352.78,2000,6090,-0.02
CoRoT-2 b,CoRoT-2,1,2,1,Transit,2008,1.7429935,0.02798,16.432,1102.82,,5625,
CoRoT-20 b,CoRoT-20,1,1,2,Transit,2011,9.24285,0.09,,1366.669,,,
CoRoT-20 c,CoRoT-20,1,1,2,Radial Velocity,2018,1675,2.9,,5403.11,,,
CoRoT-21 b,CoRoT-21,1,1,1,Transit,2012,2.72474,0.0417,14.5717,718.2958,,6200,0
CoRoT-22 b,CoRoT-22,1,1,1,Transit,2014,9.75598,0.092,4.88,12.2,885,5939,0.17
CoRoT-23 b,CoRoT-23,1,1,1,Transit,2011,3.6313,0.048,11.77,889.9,1660,5900,0.05
CoRoT-24 b,CoRoT-24,1,1,2,Transit,2014,5.1134,0.056,3.7,5.7,1070,4950,0.3
CoRoT-24 c,CoRoT-24,1,1,2,Transit,2014,11.759,0.098,5,28,850,4950,0.3
CoRoT-25 b,CoRoT-25,1,1,1,Transit,2013,4.86069,0.0578,12.11,85.81,1330,6040,-0.01
CoRoT-26 b,CoRoT-26,1,1,1,Transit,2013,4.20474,0.0526,14.12,165.26,1600,5590,0.01
CoRoT-27 b,CoRoT-27,1,1,1,Transit,2014,3.57532,0.0476,11.287,3302.11,1500,5900,-0.1
CoRoT-28 b,CoRoT-28,1,1,1,Transit,2015,5.20851,0.0603,10.704595,153.82972,,5150,0.15
CoRoT-29 b,CoRoT-29,1,1,1,Transit,2015,2.85057,0.0386,10.0881,270.1555,,5260,0.2
CoRoT-3 b,CoRoT-3,1,1,1,Transit,2008,4.2568,,11.32,6883.91,,6740,
CoRoT-30 b,CoRoT-30,1,1,1,Transit,2020,9.06005,0.0844,11.309881,921.707,,5650,0.02
CoRoT-31 b,CoRoT-31,1,1,1,Transit,2020,4.62941,0.0586,16.36514,266.9772,,5700,0
CoRoT-32 b,CoRoT-32,1,1,1,Transit,2018,6.71837,0.071,6.38913,47.6745,938,5970,0
CoRoT-35 b,CoRoT-35,1,1,1,Transit,2022,3.22748,0.0429,18.83108758,349.6112477,1747,6390,-0.5
CoRoT-36 b,CoRoT-36,1,1,1,Transit,2022,5.616531,0.066,15.80466279,216.1233168,1567,6730,-0.1
CoRoT-4 b,CoRoT-4,1,1,1,Transit,2008,9.20205,0.09,13.34,228.83,1074,6190,
CoRoT-5 b,CoRoT-5,1,1,1,Transit,2009,4.0378962,0.04947,15.558,148.42,1438,6100,-0.25
CoRoT-6 b,CoRoT-6,1,1,1,Transit,2009,8.886593,0.0855,13.068,940.74,1017,6090,-0.2
CoRoT-7 b,CoRoT-7,1,1,3,Transit,2009,0.85359163,,1.68135,4.07660518,,5275,0.05
CoRoT-7 c,CoRoT-7,1,1,3,Radial Velocity,2009,3.698,0.046,,8.4,,5256,0.06
CoRoT-7 d,CoRoT-7,1,1,3,Radial Velocity,2022,8.966,,,17.142,,5250,
CoRoT-8 b,CoRoT-8,1,1,1,Transit,2010,6.21229,0.063,6.39,69.92,,5080,0.3
CoRoT-9 b,CoRoT-9,1,2,1,Transit,2009,95.272656,0.4021,11.948794,266.9772,420,5625,-0.01
DE CVn b,DE CVn,1,2,1,Eclipse Timing Variations,2018,4098.1,5.75,,3823.273302,,,
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,1,1,1,Astrometry,2013,246.36,0.36,,9057.77,,,
DH Tau b,DH Tau,1,1,1,Imaging,2004,,330,,3496,,,
DMPP-1 b,DMPP-1,1,1,4,Radial Velocity,2019,18.57,0.1462,,24.27,877,6196,
DMPP-1 c,DMPP-1,1,1,4,Radial Velocity,2019,6.584,0.0733,,9.6,1239,6196,
DMPP-1 d,DMPP-1,1,1,4,Radial Velocity,2019,2.882,0.0422,,3.35,1632,6196,
DMPP-1 e,DMPP-1,1,1,4,Radial Velocity,2019,5.516,0.0651,,4.13,1314,6196,
DMPP-2 b,DMPP-2,1,1,1,Radial Velocity,2019,5.2072,0.0664,,138.89171,1000,6500,
DMPP-3 A b,DMPP-3 A,1,2,1,Radial Velocity,2019,6.6732,0.0662,,2.58,854,5138,0.18
DMPP-4 b,DMPP-4,1,1,1,Radial Velocity,2023,3.4982,0.04853,,12.2,,6400,-0.007
DP Leo b,DP Leo,1,2,1,Eclipse Timing Variations,2009,10220,8.19,,1922.79,,,
DS Tuc A b,DS Tuc A,1,2,1,Transit,2019,8.138268,,5.7,,850,5428,0
EPIC 201170410.02,EPIC 201170410,1,1,1,Transit,2020,6.7987,0.0349,1.047,,,3648,-0.048
EPIC 201238110 b,EPIC 201238110,1,1,1,Transit,2019,28.1656,,1.87,,,,
EPIC 201427007 b,EPIC 201427007,1,1,1,Transit,2021,0.72091,,1.5,,,5633,-0.053
EPIC 201497682 b,EPIC 201497682,1,1,1,Transit,2019,2.13174,,0.692,,,,
EPIC 201595106 b,EPIC 201595106,1,1,2,Transit,2021,0.87724,0.0177,1.565,7.67,2038,5679,0.01
EPIC 201615463 c,K2-166,1,1,2,Transit,2019,3.80464,,1.22,,,,
EPIC 201754305 d,K2-16,1,1,3,Transit,2019,2.71578,,1.03,,,,
EPIC 201757695.02,EPIC 201757695,1,1,1,Transit,2020,2.0478,0.0296,0.90819,,,4520,-0.003
EPIC 201833600 c,K2-50,1,1,2,Transit,2019,3.96151,,1,,,,
EPIC 201841433 b,EPIC 201841433,1,1,1,Transit,2019,4.1698,0.035,1.04,,,5053,0
EPIC 205950854 c,K2-168,1,1,2,Transit,2019,8.050722,,1.31,,960.6,5502.7,
EPIC 206024342 b,EPIC 206024342,1,1,3,Transit,2019,4.50756,,1.7,,,,
EPIC 206024342 c,EPIC 206024342,1,1,3,Transit,2021,0.911724,,1.4,,,5724,-0.22
EPIC 206024342 d,EPIC 206024342,1,1,3,Transit,2021,14.647531,,2.6,,,5724,-0.22
EPIC 206032309 b,EPIC 206032309,1,1,1,Transit,2019,2.87814,,1.01,,,,
EPIC 206042996 b,EPIC 206042996,1,1,2,Transit,2019,5.2986,,1.7,,,4114,0.006
EPIC 206042996 c,EPIC 206042996,1,1,2,Transit,2021,0.354884,,1.2,,,4114,0.006
EPIC 206215704 b,EPIC 206215704,1,1,1,Transit,2019,2.255436,,1,,,3297,-0.33
EPIC 206317286 b,EPIC 206317286,1,1,2,Transit,2019,1.58252,,0.96,,,,
EPIC 206317286 c,EPIC 206317286,1,1,2,Transit,2022,17.515472,,2.094,,,4752,0.019
EPIC 211822797 b,EPIC 211822797,1,1,1,Transit,2016,21.1701963,0.1195,1.92,,431,4057,0.2
EPIC 211945201 b,EPIC 211945201,1,1,1,Transit,2018,19.49221,0.1493,5.76,,817,6069,0.1
EPIC 212297394 b,EPIC 212297394,1,1,2,Transit,2019,2.289363,,1.48,,1149,5171,-0.03
EPIC 212297394 c,EPIC 212297394,1,1,2,Transit,2021,5.213965,,2.27,,866,5171,-0.03
EPIC 212424622 b,EPIC 212424622,1,1,1,Transit,2019,18.0983,,2.17,,,,
EPIC 212499991 b,EPIC 212499991,1,1,1,Transit,2019,34.885,,1.6,,,,
EPIC 212587672 b,EPIC 212587672,1,1,2,Transit,2019,15.28078,,1.26,,756,6004,-0.18
EPIC 212587672 c,EPIC 212587672,1,1,2,Transit,2021,23.228555,,2.32,,658,6004,-0.18
EPIC 212624936 b,EPIC 212624936,1,1,2,Transit,2021,0.578657,,1.2,,,5765,-0.39
EPIC 212624936 c,EPIC 212624936,1,1,2,Transit,2021,11.811437,,2.3,,,5765,-0.39
EPIC 212737443 b,EPIC 212737443,1,1,2,Transit,2019,13.603,0.098,2.586,,536,4684,-0.137
EPIC 212737443 c,EPIC 212737443,1,1,2,Transit,2019,65.55,0.28,2.69,,316,4684,-0.137
EPIC 220492298 b,EPIC 220492298,1,1,1,Transit,2021,0.762406,,0.99,,,5620,0.28
EPIC 220554210 c,K2-282,1,1,2,Transit,2019,0.70531,,1.6,,,5499,-0.23
EPIC 220674823 b,EPIC 220674823,1,1,2,Transit,2016,0.5713127,0.01314,1.676,7.8,2299,5578,-0.005
EPIC 220674823 c,EPIC 220674823,1,1,2,Transit,2016,13.33989,0.1073,2.84,7.32,804,5578,-0.005
EPIC 228836835 b,EPIC 228836835,1,1,1,Transit,2021,0.728113,,1.1,,,3782,-0.18
EPIC 229004835 b,EPIC 229004835,1,1,1,Transit,2023,16.141132,0.1237,2.332,10.4,804,5868,-0.12
EPIC 246851721 b,EPIC 246851721,1,2,1,Transit,2018,6.180235,0.07229,11.780659,953.49,1401,6202,0.141
EPIC 248847494 b,EPIC 248847494,1,1,1,Transit,2018,3650,4.5,12.44199,4131.79,183,4898,-0.23
EPIC 249893012 b,EPIC 249893012,1,1,3,Transit,2020,3.5951,0.047,1.95,8.75,1616,5430,0.2
EPIC 249893012 c,EPIC 249893012,1,1,3,Transit,2020,15.624,0.13,3.67,14.67,990,5430,0.2
EPIC 249893012 d,EPIC 249893012,1,1,3,Transit,2020,35.747,0.22,3.94,10.18,752,5430,0.2
FU Tau b,FU Tau,1,1,1,Imaging,2008,,800,,5085.28,2375,2838,
G 192-15 b,G 192-15,1,1,2,Radial Velocity,2025,2.27476,0.01723,,1.03,453.6,,
G 192-15 c,G 192-15,1,1,2,Radial Velocity,2025,1219,1.137,,14.3,55.9,,
G 196-3 b,G 196-3,1,1,1,Imaging,2024,,350,,8263.538582,1670,,
G 261-6 b,G 261-6,1,1,1,Radial Velocity,2025,5.4536,0.02971,,1.37,322.3,,
G 264-012 b,G 264-012,1,1,2,Radial Velocity,2021,2.30538,0.02279,,2.5,587,3326,0.1
G 264-012 c,G 264-012,1,1,2,Radial Velocity,2021,8.0518,0.0525,,3.75,387,3326,0.1
G 268-110 b,G 268-110,1,1,1,Radial Velocity,2025,1.43263,0.01283,,1.52,534,,
G 9-40 b,G 9-40,1,1,1,Transit,2019,5.7459982,0.0418,1.9,4,440.6,3395,-0.07
GJ 1002 b,GJ 1002,1,1,2,Radial Velocity,2022,10.3465,0.0457,,1.08,230.9,3024,-0.25
GJ 1002 c,GJ 1002,1,1,2,Radial Velocity,2022,21.202,0.0738,,1.36,181.7,3024,-0.25
GJ 1061 b,GJ 1061,1,1,3,Radial Velocity,2020,3.204,0.021,,1.37,,2953,-0.08
GJ 1061 c,GJ 1061,1,1,3,Radial Velocity,2020,6.689,0.035,,1.74,,2953,-0.08
GJ 1061 d,GJ 1061,1,1,3,Radial Velocity,2020,13.031,0.054,,1.64,,2953,-0.08
GJ 1132 b,GJ 1132,1,1,2,Transit,2015,1.62892911,0.0157,1.19151465,1.83704819,583.8,3229,-0.17
GJ 1132 c,GJ 1132,1,1,2,Radial Velocity,2018,8.929,0.0476,,2.64,300,3270,
GJ 1148 b,GJ 1148,1,1,2,Radial Velocity,2010,41.38,0.166,,96.7,,3287,
GJ 1148 c,GJ 1148,1,1,2,Radial Velocity,2017,532.58,0.912,,68.06,,3287,
GJ 1151 c,GJ 1151,1,1,1,Radial Velocity,2023,389.7,0.5714,,10.62,,3280,-0.12
GJ 1214 b,GJ 1214,1,1,1,Transit,2009,1.580404531,0.01505,2.733,8.41,567,3101,0.24
GJ 1252 b,GJ 1252,1,1,1,Transit,2020,0.5182331,,1.193,1.32,,3458,0.1
GJ 1265 b,GJ 1265,1,1,1,Radial Velocity,2018,3.6511,0.026,,7.4,,3236,-0.04
GJ 1289 b,GJ 1289,1,1,1,Radial Velocity,2024,111.74,0.27,,6.27,150,3296,0.02
GJ 143 b,GJ 143,1,1,2,Transit,2019,35.61253,0.1915,2.61,22.7,422,4640,0.003
GJ 15 A b,GJ 15 A,1,2,2,Radial Velocity,2014,11.4407,0.072,,3.03,,3607,-0.34
GJ 15 A c,GJ 15 A,1,2,2,Radial Velocity,2018,7600,5.4,,36,,3607,-0.34
GJ 160.2 b,GJ 160.2,1,1,1,Radial Velocity,2014,5.2354,0.053,,10.2,,4347,
GJ 163 b,GJ 163,1,1,3,Radial Velocity,2013,8.63182,0.0607,,10.6,,,
GJ 163 c,GJ 163,1,1,3,Radial Velocity,2013,25.63058,0.1254,,6.8,,,
GJ 163 d,GJ 163,1,1,3,Radial Velocity,2013,603.95116,1.0304,,29.4,,,
GJ 179 b,GJ 179,1,1,1,Radial Velocity,2009,2288,2.41,,260.61,,3370,0.3
GJ 180 b,GJ 180,1,1,3,Radial Velocity,2014,17.133,0.092,,6.49,,,
GJ 180 c,GJ 180,1,1,3,Radial Velocity,2014,24.329,0.129,,6.4,,3371,
GJ 180 d,GJ 180,1,1,3,Radial Velocity,2020,106.3,0.309,,7.56,,,
GJ 2030 b,GJ 2030,1,1,2,Radial Velocity,2022,2.38129,0.034,,4.76742611,,,
GJ 2030 c,GJ 2030,1,1,2,Radial Velocity,2022,25533.11353,16.761,,4069.157095,,,
GJ 2056 b,GJ 2056,1,1,1,Radial Velocity,2020,69.971,0.283,,16.2,,,
GJ 2126 b,GJ 2126,1,1,1,Radial Velocity,2025,272.7,0.71,,413.1769291,,4159,0.6
GJ 229 A c,GJ 229,1,3,2,Radial Velocity,2020,121.93268,0.384,,8.58136699,,,
GJ 229 b,GJ 229,1,3,2,Radial Velocity,2014,579.47495,1.086,,14.93793513,,,
GJ 238 b,GJ 238,1,1,1,Transit,2024,1.7446999,0.02123,0.566,,758,3485,0.15
GJ 251 b,GJ 251,1,1,2,Radial Velocity,2020,14.237,0.0808,,3.85,336,3342,0.07
GJ 251 c,GJ 251,1,1,2,Radial Velocity,2025,53.647,0.196,,3.88,216,3342,0.07
GJ 27.1 b,GJ 27.1,1,1,1,Radial Velocity,2014,15.819,0.101,,13,,3542,
GJ 273 b,GJ 273,1,1,2,Radial Velocity,2017,18.6498,0.091101,,2.89,,3382,0.09
GJ 273 c,GJ 273,1,1,2,Radial Velocity,2017,4.7234,0.036467,,1.18,,3382,0.09
GJ 3021 b,GJ 3021,1,2,1,Radial Velocity,2000,133.71,0.49,,1071.04,350,5540,0.1
GJ 3082 b,GJ 3082,1,1,1,Radial Velocity,2020,11.949,0.079,,8.2,,,
GJ 3090 b,GJ 3090,1,1,1,Transit,2022,2.8531054,0.03165,2.13,3.34,693,3556,-0.06
GJ 3138 b,GJ 3138,1,1,3,Radial Velocity,2017,1.22003,0.0197,,1.78,,3717,-0.3
GJ 3138 c,GJ 3138,1,1,3,Radial Velocity,2017,5.974,0.057,,4.18,,3717,-0.3
GJ 3138 d,GJ 3138,1,1,3,Radial Velocity,2017,257.8,0.698,,10.5,,3717,-0.3
GJ 317 b,GJ 317,1,1,2,Radial Velocity,2007,695.69,1.138,,536.494351,,3496,-0.02
GJ 317 c,GJ 317,1,1,2,Radial Velocity,2018,6500,5.04,,454.494622,,3496,-0.02
GJ 3222 b,GJ 3222,1,2,1,Radial Velocity,2022,10.66669,0.091,,11.44182265,,,
GJ 328 b,GJ 328,1,1,2,Radial Velocity,2013,3771,4.11,,797.7493016,,3897,-0.06
GJ 328 c,GJ 328,1,1,2,Radial Velocity,2023,241.8,0.657,,21.4,,3897,-0.06
GJ 3293 b,GJ 3293,1,1,4,Radial Velocity,2015,30.5987,0.14339,,23.54,,3466,0.02
GJ 3293 c,GJ 3293,1,1,4,Radial Velocity,2015,122.6196,0.36175,,21.09,,3466,0.02
GJ 3293 d,GJ 3293,1,1,4,Radial Velocity,2017,48.1345,0.19394,,7.6,,3466,0.02
GJ 3293 e,GJ 3293,1,1,4,Radial Velocity,2017,13.2543,0.08208,,3.28,,3466,0.02
GJ 3323 b,GJ 3323,1,1,2,Radial Velocity,2017,5.3636,0.03282,,2.02,,3159,-0.27
